BRAND,MODEL,OS,PRIMARY CAMERA,SELFIE CAMERA,GPU,CPU,INTERNAL MEMORY,SENSORS,BATTERY,PRICE
Oppo,Reno A,Android 9.0 (Pie); ColorOS 6,"16 MP, f/1.8, 1/2.8"", 1.12µm, PDAF
2 MP, depth sensor","25 MP, f/2.4, 1/2.8"", 0.9µm",Adreno 616,Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),128GB 6GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3600 mAh battery,About 280 EUR
Oppo,A5 (2020),Android 9.0 (Pie); ColorOS 6.1,"12 MP, f/1.8, (wide), 1/2.8"", 1.25µm, PDAF
8 MP, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","8 MP, f/2.0",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,"$ 269.00 / ₹ 11,900"
Oppo,A9 (2020),Android 9.0 (Pie); ColorOS 6.1,"48 MP, f/1.8, (wide), 1/2.3"", 0.8µm, PDAF
8 MP, f/2.3, 13mm (ultrawide), 1/4"", 1.12µm, AF
2 MP, f/2.4, 1/5"", 1.75µm
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"128GB 4GB RAM, 128GB 8GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,"$ 289.00 / £ 219.00 / ₹ 14,391"
Oppo,Reno2,Android 9.0 (Pie); ColorOS 6.1,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS
13MP, f/2.4, (telephoto), 1/3.4"", 1.0µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/3.2"", 1.4µm
2 MP B/W, f/2.4, 1/5"", 1.75µm","Motorized pop-up 16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Adreno 618,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),"128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 549.00 / £ 399.00 / € 468.00 / ₹ 27,999"
Oppo,Reno2 F,Android 9.0 (Pie); ColorOS 6.1,"48 MP, f/1.7, 26mm (wide), 1/2.3"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP B/W, f/2.4, 1/5"", 1.75µm
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","Motorized pop-up 16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Mali-G72 MP3,Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 480.90 / £ 370.90 / ₹ 23,500"
Oppo,Reno2 Z,Android 9.0 (Pie); ColorOS 6.1,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP B/W, f/2.4, 1/5"", 1.75µm
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","Motorized pop-up 16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",PowerVR GM9446,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 519.00 / £ 329.99 / ₹ 21,998"
Oppo,Reno Z,Android 9.0 (Pie); ColorOS 6,"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.4, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",PowerVR GM9446,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4035 mAh battery,$ 441.25 / £ 279.99 / € 335.00
Realme,5s,Android 9.0 (Pie); ColorOS 6,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","13 MP, f/2.0, 26mm (wide), 1/3"", 1.12µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"64GB 4GB RAM, 128GB 4GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,"₹ 9,999"
Realme,C2 2020,Android 9.0 (Pie); ColorOS 6 Lite,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF
2 MP, f/2.4, 1.75µm, depth sensor","5 MP, f/2.0, 1/5"", 1.12µm",PowerVR GE8320,Octa-core 2.0 GHz Cortex-A53,"32GB 2GB RAM, 64GB 3GB RAM","Accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,About 100 EUR
Realme,X2 Pro,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6.1","64 MP, f/1.8, 26mm (wide), 1/1.7"", 0.8µm, PDAF
13 MP, f/2.5, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, 2x optical zoom
8 MP, f/2.2, 16mm (ultrawide), 1/3.2"", 1.4µm, PDAF
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),"64GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 341.89 / ₹ 29,999"
Realme,X2,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.3, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Adreno 618,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,$ 194.88 / € 299.00
Realme,XT 730G,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.3, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm",Adreno 618,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),"64GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,NA
Realme,XT,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","64 MP, f/1.8, (wide), 1/1.7"", 0.8µm, PDAF
8 MP, f/2.3, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm",Adreno 616,Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 299.00 / £ 219.00 / ₹ 15,999"
Realme,Q,Android 9.0 (Pie); ColorOS 6,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm",Adreno 616,Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4035 mAh battery,$ 129.39
Realme,5 Pro,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3"", 1.0µm",Adreno 616,Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4035 mAh battery,"$ 129.39 / £ 224.00 / € 199.00 / ₹ 12,999"
Realme,5,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","12 MP, f/1.8, (wide), 1/2.9"", 1.25µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, 1/5"", 1.75µm, depth sensor","13 MP, f/2.0, 26mm (wide), 1/3"", 1.12µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,"$ 189.00 / £ 168.00 / ₹ 8,999"
Realme,3i,"Android 9.0 (Pie), planned upgrade to Android 10.0; ColorOS 6","13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF
2 MP, depth sensor","13 MP, f/2.0, 1/3"", 1.12µm",Mali-G72 MP3,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"32GB 3GB RAM, 64GB 4GB RAM","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4230 mAh battery,"$ 179.00 / £ 129.90 / ₹ 7,999"
OnePlus,7T Pro 5G McLaren,Android 10.0; OxygenOS 10.0,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 13mm (ultrawide), AF","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),256GB 12GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4085 mAh battery,NA
OnePlus,7T Pro,Android 10.0; OxygenOS 10.0.4,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS
16 MP, f/2.2, 13mm (ultrawide), AF","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"256GB 8GB RAM, 256GB 12GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4085 mAh battery,"$ 635.99 / £ 599.00 / € 759.00 / ₹ 53,999"
OnePlus,7T,Android 10.0; OxygenOS 10.0.5,"48 MP, f/1.6, 26mm (wide), 1/2"", 0.8µm, PDAF, OIS
12 MP, f/2.2, 51mm (telephoto), 1.0µm, PDAF, 2x optical zoom
16 MP, f/2.2, 17mm (ultrawide), AF","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3800 mAh battery,"$ 434.99 / £ 429.00 / € 572.00 / ₹ 34,999"
OnePlus,7 Pro 5G,Android 9.0 (Pie); OxygenOS 9.5.11,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x zoom, PDAF, Laser AF, OIS
16 MP, f/2.2, 13mm (ultrawide)","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,About 800 EUR
OnePlus,7 Pro,Android 9.0 (Pie); OxygenOS 10.0.2,"48 MP, f/1.6, (wide), 1/2"", 0.8µm, PDAF, Laser AF, OIS
8 MP, f/2.4, 78mm (telephoto), 3x optical zoom, PDAF, Laser AF, OIS
16 MP, f/2.2, 13mm (ultrawide), AF","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.0"", 1.0µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,"$ 489.99 / £ 439.75 / ₹ 39,999"
OnePlus,7,"Android 9.0 (Pie), upgradable to Android 10.0; OxygenOS 10.0.2","48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS
5MP, f/2.4, 1.12µm, depth sensor","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3700 mAh battery,"$ 379.99 / £ 313.95 / € 549.00 / ₹ 26,999"
OnePlus,6T McLaren,Android 9.0 (Pie); OxygenOS 9.0.16,"16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 630,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),256GB 10GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3700 mAh battery,About 700 EUR
OnePlus,6T,"Android 9.0 (Pie), upgradable to Android 10; OxygenOS 10.0.1","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 630,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3700 mAh battery,$ 334.95 / £ 369.95
OnePlus,6,"Android 8.1 (Oreo), upgradable to Android 10; OxygenOS 10.0.1","16 MP, f/1.7, 25mm (wide), 1/2.6"", 1.22µm, PDAF, OIS
20 MP (16 MP effective), f/1.7, 25mm (wide), 1/2.8"", 1.0µm, PDAF","16 MP, f/2.0, 25mm (wide), 1/3.1"", 1.0µm",Adreno 630,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3300 mAh battery,$ 279.99 / £ 329.00
OnePlus,5T,"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie); OxygenOS 9.0.4","16 MP, f/1.7, 27mm (wide), 1/2.8"", 1.12µm, PDAF
20 MP, f/1.7, 27mm (wide), 1/2.8"", 1.0µm, AF, PDAF","16 MP, f/2.0, 20mm (wide), 1/3.1"", 1.0µm",Adreno 540,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),"64GB 6GB RAM, 128GB 8GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3300 mAh battery,$ 224.39 / £ 264.99
vivo,V17 (India),Android 9.0 (Pie); Funtouch 9.2,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,"₹ 22,990"
vivo,iQOO Neo 855 Racing,Android 9.0 (Pie); Funtouch 9,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF
8 MP, f/2.2, (wide)
2 MP, f/2.4, depth sensor","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),"128GB 8GB RAM, 128GB 12GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,About 330 EUR
vivo,Y9s,Android 9.0 (Pie); Funtouch 9,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,About 260 EUR
vivo,Z5i,Android 9.0 (Pie); Funtouch 9.2,"16 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
2 MP, f/2.4, macro camera","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),128GB 8GB RAM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 5000 mAh battery,About 230 EUR
vivo,V17,Android 9.0 (Pie); Funtouch 9.2,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,About 330 EUR
vivo,S1 Pro,Android 9.0 (Pie); Funtouch 9.2,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
2 MP, f/2.4, depth sensor","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Adreno 610,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,$ 315.99
vivo,S5,Android 9.0 (Pie); Funtouch 9.2,"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4"", 1.12µm
2 MP, f/2.4, 1/5"", 1.75µm (dedicated macro camera)
5 MP, f/2.4, depth sensor","32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm",Adreno 616,Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),128GB 8GB RAM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4100 mAh battery,$ 512.49
vivo,U20,Android 9.0 (Pie); Funtouch 9.2,"16 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
2 MP, f/2.4, macro camera","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"64GB 4GB RAM, 64GB 6GB RAM","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 5000 mAh battery,"₹ 10,990"
vivo,Y3 Standard,Android 9.0 (Pie); Funtouch 9.1,"13 MP, f/2.2, (wide), PDAF
2 MP, f/2.4, depth sensor","8 MP, f/1.8",Adreno 505,Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),64GB 3GB RAM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 5000 mAh battery,About 130 EUR
vivo,Y5s,Android 9.0 (Pie); Funtouch 9.2,"16 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 13mm (ultrawide)
2 MP, f/2.4, macro camera","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm",Mali-G52 MC2,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),128GB 6GB RAM,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 5000 mAh battery,About 190 EUR
Meizu,16T,Android 9.0 (Pie); Flyme 8,"12 MP, f/1.9, 24mm (wide), 1/2.55"", 1.4µm, PDAF
8 MP, f/2.2, 15mm (ultrawide), 1/4"", 1.12µm, PDAF
5 MP, f/1.9, 23mm (wide), 1/5"", 1.12µm, PDAF","16 MP, f/2.2, 26mm (wide), 1/3.1"", 1.0µm",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4500 mAh battery,$ 349.99
Meizu,M10,Android 9.0 (Pie); Flyme 8,"13 MP, f/2.0, (wide), PDAF
2 MP, f/2.2
2 MP, f/2.2","8 MP, f/2.0",Mali-T880MP2,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53),"32GB 2GB RAM, 32GB 3GB RAM","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,About 180 EUR
Meizu,16s Pro,Android 9.0 (Pie); Flyme 8,"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS
20MP, f/2.6, (telephoto), 1/2.8"", 1.0µm, PDAF
16 MP, f/2.2, 16mm (ultrawide), 1/3.6"", 1.0µm","20MP, f/2.2",Adreno 640 (700 MHz),Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3600 mAh battery,About 340 EUR
Meizu,16Xs,Android 9.0 (Pie); Flyme,"48 MP, f/1.7, 13mm (ultrawide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2
5 MP, f/1.9, depth sensor","16 MP, f/2.2, 26mm (wide), 1/3.1"", 1.0µm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"64GB 6GB RAM, 128GB 6GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery,About 220 EUR
Meizu,16s,Android 9.0 (Pie); Flyme 7.3,"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF, OIS
20MP, f/2.6, (telephoto), PDAF","20MP, f/2.2",Adreno 640,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3600 mAh battery,$ 399.99
Meizu,Note 9,Android 9.0 (Pie); Flyme 7.2,"48 MP, f/1.7, (wide), 1/2"", 0.8µm, PDAF
5 MP, depth sensor","20 MP, f/2.0, (wide), 1/2.8"", 1.0μm",Adreno 612,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,About 200 EUR
Meizu,C9 Pro,Android 8.0 (Oreo); Flyme UI,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","13 MP, f/2.0, 1/3.1"", 1.12µm",Mali-820MP1,Quad-core 1.3 GHz Cortex-A53,32GB 3GB RAM,"Accelerometer, proximity, compass",Removable Li-Ion 3000 mAh battery,About 110 EUR
Meizu,Zero,Android 9.0 (Pie),"12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF
20 MP, PDAF","20 MP, f/2.0, (wide), 1/2.8"", 1.0μm",Adreno 630,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Ion battery,NA
